"TelefonModelleri","Agirlik","Uzunluk","Genislik","EkranBoyutu","Bellek","IslemciHızı","PilOmru","KameraSayisi","Renkler","SimKarti","Ram","Fiyat"
"Galaxy A02","206","164.0","75.9","6.5''","32GB","1.5GHz","5.000mAh","3","Siyah
Mavi
Kırmızı","1","3 GB","1.994  TL"
"Galaxy A01 Core","150","141.7","67.5","5.3''","16GB","1.5GHz","3.000mAh","2","Siyah
Mavi
Kırmızı","2","1GB","1.179 TL"
"Galaxy A12","205","164.0","75.8","6.5''","128GB","2.3GHz","5.000mAh","5","Siyah
Mavi
Beyaz","2","4GB","2.616 TL"
"GalaxyA11","177","161.4","76.3","6.4''","32GB","1.8GHz","4.000mAh","4","Siyah
Mavi
Beyaz","2","2GB","2.090 TL"
"Galaxy A31","185","159.3","73.1","6.4''","128GB","2.0GHz","5.000mAh","5","Siyah
Mavi
Beyaz","2","4GB","3.299 TL"
"Galaxy A 71","179","163.6","76.0","6.7''","128GB","2.2GHz","4.500mAh","5","Siyah
Mavi
Gümüş","2","8GB","4.399 TL"
"Galaxy A80","220","165.2","76.5","6.7’’ ","128GB","2.2GHz","3.700mAh","4","Siyah
Pembe
Gri","1","8GB","4.799 TL"
"Galaxy A70","183","164.3","76.7","6.5''","128GB","2.0GHz","4.5000mAh","4","Siyah
Mercan
Beyaz","1","6GB","3.878 TL"
"Galaxy A50","165","158.5","74.7","6.4''","64GB","2.3GHz","4.000mAh","4","Mavi
Siyah
Beyaz","1","6GB","3.799 TL"
"Galaxy A30","165","158.5","74.7","6.4''","64GB","1.8GHz","4.000mAh","3","Mavi
Siyah
Beyaz","1","4GB","2.749 TL"
"Galaxy A20","169","158.4","74.7","6.4''","32GB","1.6GHz","4.000mAh","3","Mavi
Siyah
Kırmızı","1","3GB","2.547 TL"
"Galaxy A10","168","155.6","75.6","6.2''","32GB","1.6GHz","3.400mAh","2","Mavi
Siyah
Kırmızı","1","2GB","2.783 TL"
"Galaxy A9","183","162.5","77","6.7''","128GB","2.2GHz","3.800mAh","5","Siyah
Mavi
Pembe","1","6GB","3.230 TL"
"Galaxy A8","172","149.2","70.6","5.6''","64GB","2.2GHz","3.000mAh","2","Siyah
Gri
Altın","1","4GB","3.899 TL"
"Galaxy A7","168","159.8","76.8","6.0''","64GB","2.2GHz","3.300mAh","4","Siyah
Mavi
Altın
Pembe","1","4GB","3.099 TL"
"Galaxy A6","162","149.9","70.8","5.6''","64GB","1.6GHz","3.000mAh","2","Siyah
Mavi
Altın","1","4GB","2.999 TL"
"Galaxy A6+","191","160.2","75.7","6.0''","64GB","1.8GHz","3.500mAh","2","Siyah
Mavi
Altın","1","4GB","3.199 TL"
"Galaxy A8+","191","159.9","75.7","6.0''","64GB","2.2GHz","3.500mAh","2","Siyah
Gri
Altın","1","4GB","3.330 TL"
"Iphone 12 Pro Max","228","160.8","78.1","6.7''","128GB
256GB
512GB","3.0GHz","3.687mAh","4","Gümüş
Altın
Mavi","2","6GB","16.999 TL"
